ISO3,Subregion,net.value2019,medi19_op
AGO,Middle Africa,-32.035373255,1
BDI,Eastern Africa,-11.048195826,2
BEN,Western Africa,-7.927310306,3
BFA,Western Africa,-14.794193703000001,3
BWA,Southern Africa,-114.125633014,1
CAF,Middle Africa,-3.488122052,3
CIV,Western Africa,21.704288004000006,3
CMR,Middle Africa,5.973780975,3
COD,Middle Africa,-7.307020463000001,2
COG,Middle Africa,-7.379154671,3
COM,Eastern Africa,-1.022277395,4
CPV,Western Africa,-0.058833456,3
DJI,Eastern Africa,-8.380810301,5
DZA,Northern Africa,-13.550949344,5
EGY,Northern Africa,189.705321693,5
ERI,Eastern Africa,-0.8327033770000001,5
ETH,Eastern Africa,-16.168965719,5
GAB,Middle Africa,-2.437686045,3
GHA,Western Africa,-3.773015700000002,3
GIN,Western Africa,-12.337490745,3
GMB,Western Africa,-0.30252927799999996,3
GNB,Western Africa,-1.396004041,3
GNQ,Middle Africa,-0.885064498,3
KEN,Eastern Africa,137.45382073,2
LBR,Western Africa,-1.4719940109999996,3
LBY,Northern Africa,-72.35069733200001,5
LSO,Southern Africa,-31.994764380000003,1
MAR,Northern Africa,43.35257343,3
MDG,Eastern Africa,-16.745216939000002,4
MLI,Western Africa,-19.34349601,3
MOZ,Eastern Africa,-84.12999274900001,1
MRT,Western Africa,-4.466429573,3
MUS,Eastern Africa,9.483870739999997,4
MWI,Eastern Africa,-36.797267172,2
NAM,Southern Africa,-151.641725254,1
NER,Western Africa,-17.046691437,3
NGA,Western Africa,1.4570433650000005,3
RWA,Eastern Africa,-40.253666903,2
SDN,Northern Africa,-35.756385011,5
SEN,Western Africa,-7.827603007000004,3
SLE,Western Africa,-1.669575311,3
SOM,Eastern Africa,-16.078867438,2
SSD,Eastern Africa,-17.602503811000002,2
STP,Middle Africa,-0.354036461,5
SWZ,Southern Africa,-25.742712245,1
SYC,Eastern Africa,-4.455603786,4
TCD,Middle Africa,-5.358179664,3
TGO,Western Africa,-0.3063515660000009,3
TUN,Northern Africa,24.428333206000005,5
TZA,Eastern Africa,-63.54182880100001,2
UGA,Eastern Africa,-9.511831955999995,2
ZAF,Southern Africa,634.693503019,1
ZMB,Eastern Africa,-73.225536336,1
ZWE,Eastern Africa,-71.32824482000001,1
