ISO3,Subregion,net.value2019,crop19_op
AGO,Middle Africa,-66.191531704,1
BDI,Eastern Africa,-13.936814839000002,2
BEN,Western Africa,-11.658443125000002,3
BFA,Western Africa,-19.75660103,3
BWA,Southern Africa,-276.566275896,1
CAF,Middle Africa,-21.001869142000004,4
CIV,Western Africa,24.705818375,3
CMR,Middle Africa,16.322380719999998,4
COD,Middle Africa,-14.107793580000003,2
COG,Middle Africa,-6.950850937,4
COM,Eastern Africa,-3.323858945,5
CPV,Western Africa,-0.47986367,3
DJI,Eastern Africa,-103.34775894,6
DZA,Northern Africa,2.813018686999996,5
EGY,Northern Africa,431.412120085,5
ERI,Eastern Africa,-64.09957919099999,5
ETH,Eastern Africa,294.32123208300004,6
GAB,Middle Africa,-7.8400364730000005,1
GHA,Western Africa,14.85447757,3
GIN,Western Africa,-8.197225316,5
GMB,Western Africa,-2.0928878220000002,3
GNB,Western Africa,-12.259531213,3
GNQ,Middle Africa,-0.27678962900000004,3
KEN,Eastern Africa,-113.94451084600001,2
LBR,Western Africa,-0.9719955340000002,3
LBY,Northern Africa,-162.18887447400002,5
LSO,Southern Africa,-93.418778949,1
MAR,Northern Africa,-82.976828685,5
MDG,Eastern Africa,-57.313515687999995,5
MLI,Western Africa,-35.199676204000006,3
MOZ,Eastern Africa,-99.38219741999998,1
MRT,Western Africa,-56.517696967000006,3
MUS,Eastern Africa,-26.561504638,1
MWI,Eastern Africa,-10.046496256000001,1
NAM,Southern Africa,-195.25579026900002,1
NER,Western Africa,-43.889922036,3
NGA,Western Africa,-31.498454072000005,3
RWA,Eastern Africa,-66.021751419,2
SDN,Northern Africa,35.84027734599999,6
SEN,Western Africa,8.38408064,3
SLE,Western Africa,-1.228314018,3
SOM,Eastern Africa,-322.878504055,6
SSD,Eastern Africa,-134.556777479,2
STP,Middle Africa,-0.082624663,3
SWZ,Southern Africa,-80.39408196299999,1
SYC,Eastern Africa,-10.007599767999999,1
TCD,Middle Africa,-1.910534817,3
TGO,Western Africa,-8.859504765999999,3
TUN,Northern Africa,149.635282534,5
TZA,Eastern Africa,134.51904345600002,2
UGA,Eastern Africa,72.89269043199998,2
ZAF,Southern Africa,1184.2296164000002,1
ZMB,Eastern Africa,-51.03334989300001,1
ZWE,Eastern Africa,-51.703041997,1
