ISO3,Subregion,net.value2020,crop20_op
AGO,Middle Africa,-49.866277653000004,1
BDI,Eastern Africa,-19.380616258,2
BEN,Western Africa,-7.893537675,3
BFA,Western Africa,-10.179430334000003,3
BWA,Southern Africa,-305.920025624,1
CAF,Middle Africa,-22.800292157,4
CIV,Western Africa,52.79777037399999,3
CMR,Middle Africa,15.535770178,4
COD,Middle Africa,-17.330620422000003,2
COG,Middle Africa,-4.096485884,4
COM,Eastern Africa,-3.588475432,5
CPV,Western Africa,-0.426745254,5
DJI,Eastern Africa,-94.90856677899998,6
DZA,Northern Africa,4.894732527999999,5
EGY,Northern Africa,402.72272833100004,5
ERI,Eastern Africa,-44.22929357,5
ETH,Eastern Africa,311.529271167,6
GAB,Middle Africa,-6.971681997,1
GHA,Western Africa,-22.397521970000007,3
GIN,Western Africa,-15.240455874,3
GMB,Western Africa,-2.046131656,3
GNB,Western Africa,-8.951947143,3
GNQ,Middle Africa,-3.622047726,3
KEN,Eastern Africa,-46.73891509299999,2
LBR,Western Africa,5.999407039,1
LBY,Northern Africa,-115.720008522,5
LSO,Southern Africa,-78.67216014300001,1
MAR,Northern Africa,-99.319823413,5
MDG,Eastern Africa,-45.835787690000004,5
MLI,Western Africa,-58.489962174,3
MOZ,Eastern Africa,-91.15590834400001,1
MRT,Western Africa,-33.167601994,5
MUS,Eastern Africa,12.947001632000003,1
MWI,Eastern Africa,-14.233168637999999,1
NAM,Southern Africa,-147.91224965799998,1
NER,Western Africa,-40.533908749999995,3
NGA,Western Africa,-73.11049394700001,1
RWA,Eastern Africa,-98.458155011,2
SDN,Northern Africa,-4.742127590000003,6
SEN,Western Africa,8.044675357000003,3
SLE,Western Africa,-0.870683547,2
SOM,Eastern Africa,-320.327628982,6
SSD,Eastern Africa,-125.32803563899999,2
STP,Middle Africa,-0.039441307999999994,3
SWZ,Southern Africa,-103.11131359999999,1
SYC,Eastern Africa,-7.128199486,5
TCD,Middle Africa,-10.384229875,1
TGO,Western Africa,-3.551595344999999,3
TUN,Northern Africa,125.20021787600001,5
TZA,Eastern Africa,248.67264794,2
UGA,Eastern Africa,-33.02599758300002,2
ZAF,Southern Africa,1442.301163855,1
ZMB,Eastern Africa,-25.883800264,1
ZWE,Eastern Africa,-413.05403627299995,1
